iter	Passed	Remaining
0	203	203556
1	207	103317
2	209	69763
3	214	53340
4	217	43241
5	220	36510
6	223	31697
7	227	28232
8	232	25578
9	235	23327
10	238	21470
11	244	20117
12	247	18797
13	251	17701
14	255	16782
15	258	15908
16	261	15132
17	264	14441
18	268	13859
19	271	13324
20	275	12833
21	278	12385
22	282	12007
23	286	11636
24	289	11277
25	292	10938
26	295	10639
27	298	10355
28	301	10083
29	304	9831
30	307	9598
31	310	9407
32	314	9216
33	317	9029
34	320	8845
35	327	8771
36	330	8612
37	334	8465
38	339	8355
39	342	8228
40	346	8097
41	348	7959
42	352	7842
43	357	7759
44	359	7635
45	361	7505
46	364	7381
47	366	7276
48	371	7215
49	373	7094
50	374	6976
51	376	6857
52	380	6791
53	382	6699
54	383	6595
55	385	6492
56	386	6391
57	387	6292
58	388	6195
59	389	6101
60	390	6010
61	392	5938
62	395	5878
63	396	5802
64	397	5724
65	399	5648
66	400	5574
67	401	5500
68	402	5430
69	403	5360
70	404	5293
71	406	5233
72	408	5189
73	410	5134
74	411	5073
75	412	5014
76	413	4957
77	414	4902
78	415	4846
79	416	4791
80	417	4739
81	418	4688
82	419	4636
83	421	4600
84	424	4564
85	425	4518
86	426	4474
87	427	4429
88	428	4386
89	429	4344
90	430	4304
91	431	4263
92	433	4223
93	434	4191
94	436	4157
95	438	4127
96	439	4090
97	440	4051
98	441	4014
99	441	3977
100	442	3941
101	444	3909
102	445	3877
103	446	3843
104	447	3810
105	448	3779
106	449	3754
107	451	3728
108	452	3698
109	453	3667
110	454	3637
111	455	3607
112	456	3579
113	456	3551
114	457	3523
115	458	3495
116	459	3466
117	460	3438
118	460	3411
119	461	3385
120	462	3362
121	463	3338
122	465	3317
123	466	3293
124	467	3269
125	467	3245
126	468	3220
127	469	3197
128	470	3174
129	470	3151
130	471	3129
131	472	3107
132	473	3084
133	474	3063
134	474	3042
135	475	3020
136	476	2999
137	477	2980
138	478	2961
139	479	2944
140	480	2926
141	480	2905
142	481	2886
143	482	2867
144	483	2848
145	483	2829
146	484	2811
147	485	2794
148	486	2776
149	486	2758
150	487	2741
151	488	2724
152	489	2707
153	489	2690
154	490	2673
155	491	2657
156	492	2642
157	493	2629
158	494	2615
159	495	2599
160	495	2582
161	496	2567
162	497	2552
163	497	2537
164	498	2522
165	499	2508
166	500	2494
167	500	2479
168	501	2465
169	502	2451
170	502	2437
171	503	2423
172	504	2410
173	505	2397
174	505	2385
175	506	2373
176	507	2361
177	508	2348
178	509	2335
179	509	2323
180	510	2310
181	511	2298
182	512	2286
183	512	2274
184	513	2263
185	514	2251
186	515	2239
187	515	2227
188	516	2216
189	517	2205
190	518	2194
191	518	2183
192	519	2171
193	520	2160
194	521	2150
195	522	2141
196	523	2133
197	524	2123
198	525	2113
199	525	2103
200	526	2094
201	527	2083
202	528	2073
203	529	2064
204	529	2055
205	530	2045
206	531	2035
207	532	2025
208	532	2016
209	533	2006
210	534	1997
211	535	1989
212	536	1982
213	537	1974
214	538	1966
215	539	1957
216	540	1948
217	540	1940
218	541	1931
219	542	1922
220	542	1913
221	543	1905
222	544	1896
223	545	1888
224	545	1879
225	546	1871
226	547	1863
227	548	1855
228	548	1847
229	549	1840
230	550	1833
231	551	1826
232	552	1819
233	553	1811
234	554	1804
235	554	1796
236	555	1788
237	556	1781
238	557	1773
239	557	1765
240	558	1758
241	559	1751
242	559	1743
243	560	1736
244	561	1729
245	561	1722
246	562	1715
247	563	1708
